#{"t_start": 1681381771.0962954, "env_id": null}
r,l,t
0,168,2880.21887
0,98,2880.306623
0,94,2880.393425
0,52,2880.447723
0,732,2881.113673
0,55,2882.488945
0,117,2882.598682
0,80,2882.679095
0,242,2882.899774
0,25,2882.922266
0,540,2883.417207
0,42,2883.454874
0,90,2883.53727
0,83,2883.619212
0,39,2883.654286
0,301,2883.92921
0,113,2884.032493
0,128,2884.149072
0,111,2884.250326
88,1783,2887.209491
0,317,2887.499951
0,198,2889.003166
0,113,2889.106086
0,130,2889.222336
0,1940,2892.276266
0,310,2892.554235
0,87,2892.630851
0,102,2892.722467
0,143,2892.852402
0,226,2893.060582
0,176,2893.217657
0,146,2893.349332
0,58,2893.402899
0,6907,2904.845305
0,117,2904.951876
0,231,2905.158789
0,73,2905.223149
0,49,2905.267993
0,113,2905.369276
0,878,2906.159159
0,115,2906.262363
0,196,2906.443933
0,162,2907.883685
0,67,2907.946143
0,682,2908.563392
0,292,2908.826003
0,349,2909.138266
0,136,2909.259552
0,209,2909.453807
0,242,2910.971703
0,835,2911.736577
0,3602,2917.57555
0,224,2917.778825
0,1471,2920.408952
0,1240,2921.545752
0,122,2921.656642
0,54,2921.704862
0,938,2923.846311
0,415,2924.228701
0,497,2924.679109
0,298,2924.949812
0,2613,2929.891627
0,61,2929.949697
0,65,2930.01112
0,1031,2930.950907
0,189,2931.122557
0,269,2931.371399
0,126,2931.485431
0,570,2933.256411
0,149,2933.399631
0,32,2933.428254
0,225,2933.632245
0,92,2933.715877
0,443,2934.117729
0,131,2934.237058
0,43,2934.282629
0,53,2934.33073
0,1128,2936.640939
0,58,2936.692706
0,3407,2941.128638
0,30,2941.155492
0,1260,2943.671973
0,837,2945.842005
0,1242,2947.026196
0,112,2947.130937
0,440,2947.543284
0,164,2947.694852
0,61,2949.122589
0,1777,2950.82718
0,75,2950.898598
0,64,2950.958101
0,368,2952.673405
0,24,2952.695796
0,360,2953.037912
0,375,2953.39598
0,38,2953.433721
0,82,2953.509917
0,355,2953.853678
0,204,2954.047831
0,186,2954.223737
0,1310,2956.841012
0,48,2956.887675
0,151,2957.030781
0,1540,2959.880417
0,734,2960.585639
0,145,2960.722922
0,37,2960.759384
0,109,2960.86268
0,90,2960.946827
0,3030,2966.490647
0,134,2966.623233
0,284,2966.894978
0,2278,2970.415579
0,350,2970.74863
0,54,2970.799127
0,1467,2973.526827
0,11491,2992.27787
0,421,2992.663946
0,67,2992.723574
77,3989,2998.842968
0,609,2999.400344
0,928,3001.501043
0,2058,3004.653624
0,576,3005.174277
0,790,3005.892179
0,2679,3010.85002
0,31147,3059.958652
0,11369,3077.095407
0,115,3077.200299
0,123,3078.617805
0,83,3078.696189
0,91,3078.779686
0,558,3079.294154
0,1085,3080.290171
0,169,3081.770691
0,235,3082.009679
0,31827,3131.734746
0,230,3131.950464
0,5342,3140.586947
0,383,3140.929292
0,40,3140.966399
0,6774,3150.963023
0,489,3152.682145
0,812,3153.427831
0,10743,3170.012736
0,1206,3172.516208
0,34703,3228.562341
0,478,3229.020254
0,43,3229.06259
0,64,3229.123145
0,1921,3232.324399
0,942,3234.618861
0,350,3234.958612
0,66,3235.01892
0,225,3235.228136
0,207,3235.420952
0,91,3235.506217
0,2027,3238.73602
0,709,3239.407648
0,51,3239.457114
0,33,3239.488082
0,2283,3242.947895
0,741,3244.938279
0,22,3244.958533
0,66,3245.018996
0,24,3245.042859
0,966,3245.94648
23,2760,3251.188433
0,126,3251.305156
7,80,3251.380422
17,136,3251.512183
0,35,3251.546614
0,120,3251.658052
0,24,3251.680188
0,980,3252.5963
0,394,3254.28082
0,74,3254.351149
0,25,3254.374511
0,334,3254.685112
0,42,3254.731139
0,490,3255.185492
0,138,3255.315246
0,751,3257.370085
0,618,3257.973944
0,235,3258.19801
0,164,3258.354637
0,80,3258.431637
0,354,3258.770299
0,81,3258.846452
0,174,3259.019275
0,128,3259.140922
0,245,3260.692257
0,25,3260.718262
0,42,3260.758238
0,263,3261.003742
0,58,3261.058707
0,223,3261.272246
0,1922,3264.415377
0,137,3264.54723
0,123,3264.664738
0,130,3264.791198
0,67,3264.853741
0,282,3265.121834
0,94,3265.211237
0,31573,3315.329991
0,137,3315.453481
0,252,3315.6804
0,213,3315.878812
0,55,3315.92931
0,162,3316.074902
0,181,3316.238829
0,569,3316.751615
0,302,3318.273885
0,506,3318.734501
0,283,3318.996601
0,240,3319.21334
0,117,3319.319339
0,113,3319.421958
0,84,3319.498513
0,38,3319.532311
0,220,3319.731437
0,56,3319.782931
0,510,3321.495333
0,270,3321.741197
0,904,3322.561367
0,144,3322.690743
0,227,3322.900608
0,38,3322.936032
0,222,3323.136054
0,397,3324.759573
0,995,3325.661015
0,1049,3327.860344
0,124,3327.972055
0,247,3328.200176
0,1353,3329.426772
0,375,3331.014462
0,102,3331.107049
0,3613,3335.634279
0,93,3336.962
0,547,3337.46888
0,134,3337.591197
0,339,3337.897245
0,1679,3340.672911
0,456,3341.084224
0,854,3341.859
0,2008,3344.950976
0,7520,3356.804098
0,256,3357.036193
4143,4894,3365.257569
0,106,3365.353264
0,35173,3420.43286
0,53,3420.484474
0,61,3420.541866
0,4197,3427.313916
0,105,3427.421234
0,39,3427.458056
0,20971,3460.072839
0,286,3460.330791
0,175,3461.789709
0,91,3461.875055
0,582,3462.411072
0,91,3462.492287
0,50,3462.538681
0,17597,3490.180233
0,1796,3491.820492
0,80,3491.893487
0,2601,3496.762959
0,63,3496.820934
0,508,3497.28011
0,103,3497.37898
0,219,3497.57748
0,264,3497.816839
0,52,3497.864897
0,441,3499.516852
0,145,3499.65111
0,182,3499.817755
0,28,3499.842828
0,782,3500.556203
0,258,3500.790945
0,609,3501.346769
0,313,3502.883333
0,251,3503.110396
0,1011,3504.034338
0,5923,3513.188693
0,66,3513.247582
0,123,3513.360716
0,32,3513.391142
0,309,3513.675475
0,304,3515.211189
0,147,3515.347826
0,470,3515.773159
0,195,3515.955962
0,149,3516.090591
0,454,3516.501756
0,3481,3522.216344
0,55,3522.267019
0,5227,3531.226013
0,123,3531.344609
0,175,3531.508161
0,113,3531.613738
0,135,3531.744567
0,43,3531.783971
0,354,3532.115887
0,41,3532.153459
0,121,3532.265282
0,69,3532.330278
0,103,3532.426364
0,175,3532.589464
0,862,3534.750449
0,101,3534.844867
0,151,3534.992883
0,158,3535.139383
